Trait	Category	Subcategory
Alloimmunization response to red blood cell transfusion in sickle cell anemia	Immune diseases and disorders	
Alopecia areata	Immune diseases and disorders	
Antibody level in response to infection	Immune diseases and disorders	
Anticoagulant levels	Immune diseases and disorders	
Asparaginase hypersensitivity in acute lymphoblastic leukemia	Immune diseases and disorders	
CD4:CD8 lymphocyte ratio	Immune diseases and disorders	
Cholelithiasis-related traits in sickle cell anemia	Immune diseases and disorders	
Chronic hepatitis B infection	Immune diseases and disorders	
Chronic hepatitis C infection	Immune diseases and disorders	
Chronic kidney disease and serum creatinine levels	Immune diseases and disorders	
Chronic kidney disease	Immune diseases and disorders	
Chronic mucus hypersecretion	Immune diseases and disorders	
Chronic obstructive pulmonary disease moderate to severe	Immune diseases and disorders	
Chronic obstructive pulmonary disease-related biomarkers	Immune diseases and disorders	
Chronic obstructive pulmonary disease severe	Immune diseases and disorders	
Chronic obstructive pulmonary disease	Immune diseases and disorders	
Circulating vasoactive peptide levels	Immune diseases and disorders	
Complement C3 and C4 levels	Immune diseases and disorders	
C-reactive protein and white blood cell count	Immune diseases and disorders	
C-reactive protein levels	Immune diseases and disorders	
C-reactive protein	Immune diseases and disorders	
Creatine kinase in statin users	Immune diseases and disorders	
Creatinine levels	Immune diseases and disorders	
Creutzfeldt-Jakob disease sporadic	Immune diseases and disorders	
Creutzfeldt-Jakob disease	Immune diseases and disorders	
Crohns disease and celiac disease	Immune diseases and disorders	
Crohns disease and psoriasis	Immune diseases and disorders	
Crohns disease and sarcoidosis combined	Immune diseases and disorders	
Crohns disease need for surgery	Immune diseases and disorders	
Crohns disease-related phenotypes	Immune diseases and disorders	
Crohns disease time to surgery	Immune diseases and disorders	
Crohns disease	Immune diseases and disorders	
Cutaneous lupus erythematosus	Immune diseases and disorders	
Cystic fibrosis severity	Immune diseases and disorders	
Cytokine and corticosteroid-stimulated IL-6 production	Immune diseases and disorders	
Cytokine-stimulated IL-6 production	Immune diseases and disorders	
Cytomegalovirus antibody response	Immune diseases and disorders	
Dehydroepiandrosterone sulphate levels	Immune diseases and disorders	
F-cell distribution	Immune diseases and disorders	
Food antigen IgG levels	Immune diseases and disorders	
Gamma gluatamyl transferase levels	Immune diseases and disorders	
Gamma glutamyl transpeptidase	Immune diseases and disorders	
Graves' disease	Immune diseases and disorders	
Haptoglobin levels	Immune diseases and disorders	
Hashimoto thyroiditis versus Graves' disease	Immune diseases and disorders	
HbA2 levels	Immune diseases and disorders	
Helicobacter pylori serologic status	Immune diseases and disorders	
Hepatitis B	Immune diseases and disorders	
Hepatitis B vaccine response	Immune diseases and disorders	
Hepatitis B viral clearance	Immune diseases and disorders	
Hepatitis C induced liver cirrhosis	Immune diseases and disorders	
Hepatitis C induced liver fibrosis	Immune diseases and disorders	
Hepatitis	Immune diseases and disorders	
High serum lipase activity	Immune diseases and disorders	
HIV-1 control	Immune diseases and disorders	
HIV-1 progression	Immune diseases and disorders	
HIV-1 susceptibility	Immune diseases and disorders	
HIV-1 viral setpoint	Immune diseases and disorders	
Hypothyroidism	Immune diseases and disorders	
IgA nephropathy	Immune diseases and disorders	
IgE grass sensitization	Immune diseases and disorders	
IgE levels in asthmatics D.f. specific	Immune diseases and disorders	
IgE levels in asthmatics D.p. specific	Immune diseases and disorders	
IgE levels	Immune diseases and disorders	
IgG glycosylation	Immune diseases and disorders	
IgG levels	Immune diseases and disorders	
IgM levels	Immune diseases and disorders	
Immune reponse to smallpox secreted IFN-alpha	Immune diseases and disorders	
Immune reponse to smallpox secreted IL-10	Immune diseases and disorders	
Immune reponse to smallpox secreted IL-12p40	Immune diseases and disorders	
Immune reponse to smallpox secreted IL-1beta	Immune diseases and disorders	
Immune reponse to smallpox secreted IL-2	Immune diseases and disorders	
Immune reponse to smallpox secreted TNF-alpha	Immune diseases and disorders	
Immune response to anthrax vaccine	Immune diseases and disorders	
Immune response to smallpox vaccine IL-6	Immune diseases and disorders	
Immunoglobulin A	Immune diseases and disorders	
Immunoglobulin G index levels in multiple sclerosis	Immune diseases and disorders	
Interferon alpha levels in systemic lupus erythematosus	Immune diseases and disorders	
Interleukin-18 levels	Immune diseases and disorders	
LachrymalSalivary gland lesion in type 1 autoimmune pancreatitis	Immune diseases and disorders	
Leishmaniasis visceral	Immune diseases and disorders	
Leprosy	Immune diseases and disorders	
Lupus nephritis in systemic lupus erythematosus	Immune diseases and disorders	
Malaria	Immune diseases and disorders	
Metabolic syndrome bivariate traits	Immune diseases and disorders	
Metabolic syndrome	Immune diseases and disorders	
Mixed cryoglobulinemia vasculitis in chronic hepatitis C infection	Immune diseases and disorders	
Monocyte chemoattractant protein-1	Immune diseases and disorders	
Monocyte count	Immune diseases and disorders	
Monocyte early outgrowth colony forming units	Immune diseases and disorders	
Neutrophil count in HIV-infection	Immune diseases and disorders	
Neutrophil count	Immune diseases and disorders	
Other erythrocyte phenotypes	Immune diseases and disorders	
Peanut allergy	Immune diseases and disorders	
Plasma thyroid-stimulating hormone levels	Immune diseases and disorders	
Primary biliary cirrhosis	Immune diseases and disorders	
Prothrombin time	Immune diseases and disorders	
Pyoderma gangrenosum in inflammatory bowel disease	Immune diseases and disorders	
Recalcitrant atopic dermatitis	Immune diseases and disorders	
Red blood cell count	Immune diseases and disorders	
Red blood cell fatty acid levels	Immune diseases and disorders	
Red blood cell traits	Immune diseases and disorders	
Resistin levels	Immune diseases and disorders	
Sjšgrens syndrome	Immune diseases and disorders	
Staphylococcus aureus infection	Immune diseases and disorders	
Systemic lupus erythematosus	Immune diseases and disorders	
Thyroid function	Immune diseases and disorders	
Thyroid peroxidase antibody levels	Immune diseases and disorders	
Thyroid peroxidase antibody positivity	Immune diseases and disorders	
Total bilirubin levels in HIV-1 infection	Immune diseases and disorders	
Tuberculosis	Immune diseases and disorders	
Ulcerative colitis or Crohns disease	Immune diseases and disorders	
Ulcerative colitis	Immune diseases and disorders	
Vitiligo non-segmental	Immune diseases and disorders	
Vitiligo	Immune diseases and disorders	
Wegeners granulomatosis	Immune diseases and disorders	
White blood cell count	Immune diseases and disorders	
White blood cell types	Immune diseases and disorders	
Ankylosing spondylitis	Immune diseases and disorders	
Arthritis juvenile idiopathic	Immune diseases and disorders	
Celiac disease or Rheumatoid arthritis	Immune diseases and disorders	
Celiac disease	Immune diseases and disorders	
Cerivastatin-induced rhabdomyolysis	Immune diseases and disorders	
Circulating myeloperoxidase levels plasma	Immune diseases and disorders	
Circulating myeloperoxidase levels serum	Immune diseases and disorders	
Circulating phylloquinone levels	Immune diseases and disorders	
Inflammatory biomarkers in Kawasaki disease	Immune diseases and disorders	
Inflammatory biomarkers	Immune diseases and disorders	
Inflammatory bowel disease early onset	Immune diseases and disorders	
Inflammatory bowel disease	Immune diseases and disorders	
Knee osteoarthritis	Immune diseases and disorders	
Osteoarthritis hand, severe	Immune diseases and disorders	
Osteoarthritis hip	Immune diseases and disorders	
Osteoarthritis	Immune diseases and disorders	
Osteonecrosis of the jaw	Immune diseases and disorders	
Osteoporosis-related phenotypes	Immune diseases and disorders	
Osteoporosis	Immune diseases and disorders	
Osteoprotegerin levels	Immune diseases and disorders	
Pagets disease	Immune diseases and disorders	
Psoriasis	Immune diseases and disorders	
Psoriatic arthritis	Immune diseases and disorders	
Rheumatoid arthritis	Immune diseases and disorders	
Temporomandibular joint disorders	Immune diseases and disorders	
Sexual dimorphism in anthropometric traits	Misc	Reproductive health
Acne severe	Misc	
Amino acid levels	Misc	
Anthropometric traits in newborns	Misc	
Antitragus size	Misc	
Axial length	Misc	
Barretts esophagus	Misc	
Biliary atresia	Misc	
Birdshot chorioretinopathy	Misc	
Birth length	Misc	
Birth weight	Misc	
Black vs. blond hair color	Misc	
Black vs. red hair color	Misc	
Blond vs. brown hair color	Misc	
Blue vs. brown eyes	Misc	
Blue vs. green eyes	Misc	
Breast size	Misc	
Circulating cell-free DNA	Misc	
Classic bladder exstrophy	Misc	
Cleft lip	Misc	
Cleft plate environmental tobacco smoke interaction	Misc	
Coffee consumption cups per day	Misc	
Coffee consumption	Misc	
Common traits Other	Misc	
Digit length ratio	Misc	
DNA methylation parent-of-origin	Misc	
DNA methylation variation	Misc	
Dupuytrens disease	Misc	
Dysphagia	Misc	
Facial morphology	Misc	
Facial pigmentation	Misc	
Folding of antihelix	Misc	
Freckles	Misc	
Freckling	Misc	
Gait rhythm	Misc	
Gait variability	Misc	
Gallstones	Misc	
Gene methylation in lung tissue	Misc	
Glomerulosclerosis	Misc	
Hair color	Misc	
Hair morphology	Misc	
Handedness in dyslexia	Misc	
Hand grip strength	Misc	
Head circumference infant	Misc	
Helix rolling	Misc	
Hip bone size	Misc	
Hip circumference psychosocial stress interaction	Misc	
Hoarding	Misc	
Homeostasis model assessment of beta-cell function interaction	Misc	
Homeostasis model assessment of insulin resistance interaction	Misc	
Homoarginine levels	Misc	
Homocysteine levels	Misc	
Hypersomnia HLA-DQB1*06:02 negative	Misc	
Hypospadias	Misc	
Infantile hypertrophic pyloric stenosis	Misc	
Infant length	Misc	
Information processing speed	Misc	
Intelligence childhood	Misc	
Intracerebral hemorrhage	Misc	
Intracranial aneurysm	Misc	
Intracranial volume	Misc	
Iris characteristics	Misc	
Job-related exhaustion	Misc	
Kawasaki disease	Misc	
Keloid	Misc	
Lentiform nucleus volume	Misc	
Lipid traits	Misc	
Lobe attachment	Misc	
Lobe size	Misc	
Male-pattern baldness	Misc	
Medication adherence in chronic diseases	Misc	
Metabolic traits	Misc	
Molar-incisor hypomineralization	Misc	
Morphine dose requirement in tonsillectomy and adenoidectomy surgery	Misc	
Motion sickness	Misc	
Nonsyndromic cleft lip with or without cleft palate	Misc	
Obstructive sleep apnea	Misc	
Optic cup area	Misc	
Optic disc area	Misc	
Optic disc parameters	Misc	
Optic nerve measurement cup area	Misc	
Optic nerve measurement cup-to-disc ratio	Misc	
Optic nerve measurement disc area	Misc	
Optic nerve measurement rim area	Misc	
Orofacial clefts interaction	Misc	
Orofacial clefts	Misc	
Ossification of the posterior longitudinal ligament of the spine	Misc	
Parent of origin effect on language impairment paternal	Misc	
Pediatric areal bone mineral density radius	Misc	
Pediatric bone mineral content radius	Misc	
Perceived skin darkness	Misc	
Percentage gas trapping	Misc	
Periodontal microbiota	Misc	
Periodontitis CDCAAP	Misc	
Periodontitis DPAL	Misc	
Periodontitis Mean PAL	Misc	
Periodontitis PAL4Q3	Misc	
Periodontitis	Misc	
Permanent tooth development	Misc	
Pit-and-Fissure caries	Misc	
Preschool internalizing problems	Misc	
Primary tooth development number of teeth	Misc	
Primary tooth development time to first tooth eruption	Misc	
Progranulin levels	Misc	
Pubertal anthropometrics	Misc	
Quantitative traits	Misc	
Recombination measurement females	Misc	
Recombination measurement males	Misc	
Recombination rate females	Misc	
Recombination rate males	Misc	
Red vs non-red hair color	Misc	
Red wine liking	Misc	
Relative hand skill in reading disability	Misc	
Renal transplant outcome	Misc	
Restless legs syndrome	Misc	
Sasang constitutional medicine type So-Eum	Misc	
Seasonality	Misc	
Self-employment	Misc	
Sitting height ratio	Misc	
Skin colour saturation	Misc	
Skin pigmentation	Misc	
Skin sensitivity to sun	Misc	
Smooth-surface caries	Misc	
Sphingolipid levels	Misc	
Spine bone size	Misc	
Suicide	Misc	
Superior frontal gyrus grey matter volume	Misc	
Tandem gait	Misc	
Tanning	Misc	
Temperament	Misc	
Thrombin generation potential phenotypes	Misc	
Thyrotoxic hypokalemic periodic paralysis	Misc	
Toenail selenium levels	Misc	
Tooth agenesis mandibular third molar	Misc	
Tooth agenesis third molar	Misc	
Vertical cup-disc ratio	Misc	
Weight	Misc	
White wine liking	Misc	
Word reading	Misc	
Fat body mass	Obesity	
Non-alcoholic fatty liver disease histology AST	Obesity	
Non-alcoholic fatty liver disease histology lobular	Obesity	
Non-alcoholic fatty liver disease histology other	Obesity	
Non-alcoholic fatty liver disease	Obesity	
Nonalcoholic fatty liver disease	Obesity	
Obesity and osteoporosis	Obesity	
Obesity early onset extreme	Obesity	
Obesity extreme	Obesity	
Obesity in adult survivors of childhood cancer exposed to cranial radiation	Obesity	
Obesity-related traits	Obesity	
Obesity	Obesity	
Overweight status	Obesity	
Subcutaneous adipose tissue	Obesity	
Urate levels BMI interaction	Obesity	
Urate levels in lean individuals	Obesity	
Urate levels in obese individuals	Obesity	
Urate levels in overweight individuals	Obesity	
Visceral adipose tissue adjusted for BMI	Obesity	
Visceral adipose tissuesubcutaneous adipose tissue ratio	Obesity	
Visceral fat	Obesity	
Waist-to-hip ratio adjusted for body mass index	Obesity	
Weight loss gastric bypass surgery	Obesity	
Adiponectin levels	Obesity	
Adiposity	Obesity	
Adolescent idiopathic scoliosis severe	Obesity	
Adolescent idiopathic scoliosis	Obesity	
Age at smoking initiation in chronic obstructive pulmonary disease	Pulmonology	
Airflow obstruction	Pulmonology	
Airway hyperresponsiveness	Pulmonology	
Airway imaging phenotypes	Pulmonology	
Airway responsiveness in chronic obstructive pulmonary disease	Pulmonology	
Brachial circumference	Pulmonology	
Bronchodilator response in asthma inhaled corticosteroid treatment interaction	Pulmonology	
Bronchopulmonary dysplasia	Pulmonology	
Chronic bronchitis and chronic obstructive pulmonary disease	Pulmonology	
Chronic bronchitis in chronic obstructive pulmonary disease	Pulmonology	
Diisocyanate-induced asthma	Pulmonology	
Forced expiratory volume in 1 second environmental interaction	Pulmonology	
Forced expiratory volume in 1 second	Pulmonology	
Forced vital capacity	Pulmonology	
Fractional exhaled nitric oxide childhood	Pulmonology	
Fractional exhaled nitric oxide levels	Pulmonology	
Idiopathic pulmonary fibrosis	Pulmonology	
Interstitial lung disease	Pulmonology	
Local histogram emphysema pattern	Pulmonology	
Maximal oxygen uptake response	Pulmonology	
Pneumoconiosis in silica exposure	Pulmonology	
Pulmonary emphysema	Pulmonology	
Pulmonary function in asthmatics	Pulmonology	
Pulmonary function interaction	Pulmonology	
Pulmonary function	Pulmonology	
Resting oxygen saturation in chronic osbtructive pulmonary disease pulse oxymetry	Pulmonology	
Cervical artery dissection	Reproductive health	
Follicule stimulating hormone	Reproductive health	
Glycemic traits pregnancy	Reproductive health	
HPV seropositivity	Reproductive health	
Male fertility	Reproductive health	
Mammographic density dense area	Reproductive health	
Mammographic density non-dense area	Reproductive health	
Mammographic density	Reproductive health	
Menarche age at onset	Reproductive health	
Menarche and menopause age at onset	Reproductive health	
Menopause age at onset	Reproductive health	
Non-obstructive azoospermia	Reproductive health	
Polycystic ovary syndrome	Reproductive health	
Puberty onset breast development	Reproductive health	
Puberty onset genital enlargement	Reproductive health	
Puberty onset	Reproductive health	
Sex hormone-binding globulin levels	Reproductive health	
Sex hormone levels	Reproductive health	
Sexual dysfunction female	Reproductive health	
Spontaneous preterm birth preterm birth	Reproductive health	
Spontaneous preterm birth preterm delivery	Reproductive health	
Testosterone levels	Reproductive health	
Illicit drug use	General health	
Insomnia caffeine-induced	General health	
Lifetime average cigarettes per day in chronic obstructive pulmonary disease	General health	
Longitudinal alcohol consumption	General health	
Mean arterial pressure alcohol consumption interaction	General health	
Methamphetamine dependence	General health	
MGMT methylation in smokers	General health	
Nicotine dependence	General health	
Nicotine use	General health	
Psychosis methamphetamine induced	General health	
Pulse pressure alcohol consumption interaction	General health	
Smoking behavior	General health	
Substance dependence	General health	
Systolic blood pressure alcohol consumption interaction	General health	
Cotinine glucuronidation	General health	Substance abuse
Current cigarettes per day in chronic obstructive pulmonary disease	General health	Substance abuse
Drinking behavior	General health	Substance abuse
Fibrinogen levels smoking status, alcohol consumption or body mass index interaction	General health	Substance abuse
Alcohol and nictotine co-dependence	General health	
Alcohol consumption transferrin glycosylation	General health	
Alcohol consumption	General health	
Alcohol dependence age at onset	General health	
Alcohol dependence	General health	
Alcoholism 12-month weekly alcohol consumption	General health	
Alcoholism alcohol dependence factor score	General health	
Alcoholism alcohol use disorder factor score	General health	
Alcoholism heaviness of drinking	General health	
Caffeine consumption	General health	
Cannabis use age at onset	General health	
Cannabis use initiation	General health	
Corneal astigmatism	General health	
Glaucoma exfoliation	General health	
Glaucoma high intraocular pressure	General health	
Glaucoma primary angle closure	General health	
Glaucoma primary open-angle	General health	
Glaucoma	General health	
Intraocular pressure	General health	
Myopia pathological	General health	
Myopia severe	General health	
Refractive astigmatism	General health	
Refractive error	General health	
Retinal arteriolar caliber	General health	
Retinal vascular caliber	General health	
Retinopathy in non-diabetics	General health	
Rhegmatogenous retinal detachment	General health	
Acute kidney injury in coronary artery bypass surgery creatinine rise		
Acylcarnitine levels		
ADAMTS13 activity		
Advanced glycation end-product levels		
Asymmetrical dimethylarginine levels		
B-type natriuretic peptide		
Butyrylcholinesterase levels		
C4b binding protein levels		
Central corneal thickness		
